"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"9",457,457,25896,1948,4,3,2,0,2,1,NA,1,1583,NA,390,"","Stucco","",NA,"Single Family",NA,"Average","Wood Frame/metal",NA,NA,"",NA,"Attached","Floor/wall Furnace",NA,2,"Attached Garage",NA,"Average","",NA,NA,NA,"Public","Public",1010,"Chapel","","Dr","","","1010 Chapel Dr","Bakersfield","CA",93304,"R-1","Residential","SingleFamily","148-161-12",35.345587,-119.030645,102,58,10018,0.23,"",NA,NA,NA,"",24096,88567,112663,NA,1634,2015,NA,2016-02-23,106000,"Grant Deed","FEDERAL NATL MTG ASSN FNMA",NA,NA,NA
"10",529,529,29083,1950,6,4,3,0,3,2,NA,1,1954,NA,NA,"","","",NA,"Single Family",NA,"","Wood Frame/metal",1,NA,"",NA,"Undefined Type","Floor/wall Furnace",NA,NA,"Type Unknown",NA,"Good","",NA,NA,NA,"","",803,"Caylor","","St","","","803 Caylor St","Bakersfield","CA",93304,"R-1","Residential","Single Family Residence / Townhouse","147-391-03",35.348095,-119.024837,NA,NA,6534,0.15,"",NA,NA,NA,"",24951,102326,127277,NA,0,2016,NA,2016-01-06,148845,"Foreclosure","SUMMIT MANAGEMENT CO LLC",NA,NA,NA
"14",876,876,43025,1937,4,2,1,0,1,1,NA,1,784,NA,360,"","","",NA,"Single Family",NA,"","Wood Frame/metal",NA,NA,"",NA,"Attached","Floor/wall Furnace",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",506,"Wilson","","Ave","","","506 Wilson Ave","Bakersfield","CA",93308,"R-3","Residential","Single Family Residence / Townhouse","113-076-15",35.417574,-119.030716,NA,NA,6216,0.1427,"",NA,NA,NA,"",16000,46000,62000,NA,0,2016,NA,2016-08-18,65000,"Grant Deed","GALANTE NICOLETTE",NA,NA,NA
"24",2843,2843,72533,1979,5,3,2,0,2,1,NA,1,1444,NA,472,"","","Dual Unit",NA,"Single Family",NA,"","Wood Frame/metal",1,NA,"",NA,"Attached","Floor/wall Furnace",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",5917,"Chester","W","St","","","5917 Chester W Nimitz St","Bakersfield","CA",93304,"R-1","Residential","SingleFamily","372-183-16",35.300383,-119.02384,120,61,6969,0.16,"",NA,NA,NA,"",24577,86038,110615,NA,1751,2015,NA,2016-03-17,136500,"Grant Deed","WOODHAMS RICHARD J & DOLORES L",NA,NA,NA
"36",5181,5181,75207,1982,5,3,2,0,2,1,NA,1,1448,NA,471,"","","Central",NA,"Single Family",NA,"","Wood Frame/metal",1,NA,"",NA,"Attached","Radiant",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",5401,"Osborne","","St","","","5401 Osborne St","Bakersfield","CA",93307,"R-1","Residential","SingleFamily","412-132-14",35.305232,-119.015098,NA,NA,11878,0.2727,"",NA,NA,NA,"",31352,83607,114959,NA,1782,2015,NA,2016-06-13,155000,"","",NA,NA,NA
"38",5675,5675,75755,1958,5,3,2,0,2,1,NA,1,1298,NA,316,"","","",NA,"Single Family",NA,"Good","Wood Frame/metal",NA,NA,"",NA,"Attached","Floor/wall Furnace",NA,1,"Attached Garage",NA,"Average","",NA,NA,NA,"","",2113,"Cromwell","","Ct","","","2113 Cromwell Ct","Bakersfield","CA",93304,"R-1","Residential","SingleFamily","023-241-01",35.334933,-119.029383,108,65,7020,0.1612,"",NA,NA,NA,"",27634,80166,107800,NA,1628,2015,NA,2016-03-01,146500,"Grant Deed","CALIFORNIA PREMIER AUCTIONS LLC",NA,NA,NA
"40",8408,8408,78887,1953,7,5,4,0,4,1,NA,1,2919,375,672,"","","Central",NA,"Single Family",NA,"Good","Wood Frame/metal",1,NA,"",NA,"Detached","Radiant",NA,3,"Detached Garage",NA,"Excellent","",NA,NA,NA,"","",1730,"Crestmont","","Dr","","","1730 Crestmont Dr","Bakersfield","CA",93306,"R-1","Residential","SingleFamily","136-140-05",35.381533,-118.952872,141,116,16356,0.3755,"",NA,NA,NA,"",31192,140723,171915,NA,2419,2015,NA,2016-06-07,280000,"","",NA,NA,NA
"44",11014,11014,81824,1997,7,3,2,0,2,1,NA,1,1325,NA,473,"","","Central",NA,"Single Family",NA,"","Wood Frame/metal",1,NA,"",NA,"Attached","Radiant",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",9004,"Mendocino","","Dr","","","9004 Mendocino Dr","Bakersfield","CA",93312,"R-1","Residential","SingleFamily","501-191-37",35.362753,-119.102338,NA,NA,6534,0.15,"",NA,NA,NA,"",35486,139590,175076,NA,2508,2015,NA,2016-05-05,182000,"Grant Deed","KUBAS ROBIN",NA,NA,NA
"45",11642,11642,82550,1978,5,3,2,0,2,1,NA,1,1742,NA,496,"","","Central",NA,"Single Family",NA,"","Wood Frame/metal",1,NA,"",NA,"Attached","Radiant",NA,NA,"Attached Garage",NA,"Good","",NA,NA,NA,"","",5904,"De Parsia","","Ave","","","5904 De Parsia Ave","Bakersfield","CA",93306,"R-1","Residential","SingleFamily","134-401-17",35.382643,-118.936273,NA,NA,7440,0.1708,"",NA,NA,NA,"",44000,131000,175000,NA,2348,2015,NA,2016-07-06,187000,"Grant Deed","MCPHETRIDGE JASON J & RHONDA J",NA,NA,NA
"46",11718,11718,82636,2003,NA,3,2,0,2,1,NA,1,1636,NA,492,"","","Dual Unit",NA,"Single Family",NA,"Average","Wood Frame/metal",NA,NA,"",NA,"Attached","Floor/wall Furnace",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",4709,"Hills","N","Dr","","","4709 N Hills Dr","Bakersfield","CA",93308,"R-1","Residential","SingleFamily","484-154-20",35.448941,-119.025548,NA,NA,10441,0.2397,"",NA,NA,NA,"",48214,128575,176789,NA,2596,2015,NA,2016-04-29,37000,"Quit Claim","STEELE AMBER R",NA,NA,NA
"54",18739,18739,90526,1919,NA,4,1,0,1,1,1,1,1566,NA,NA,"","","Package",NA,"Single Family",NA,"","Wood Frame/metal",NA,NA,"",NA,"","Floor/wall Furnace",NA,NA,"",NA,"Fair","",NA,NA,NA,"","",155,"H","","St","","","155 H St","Bakersfield","CA",93304,"","Residential","SingleFamily","008-333-11",35.356243,-119.021636,NA,NA,7841,0.18,"",NA,NA,NA,"",60000,4000,64000,NA,1128,2015,NA,2016-06-21,125000,"Grant Deed","BB & BZ PROPERTIES LLC",NA,NA,NA
"56",18748,18748,90535,1963,5,3,2,0,2,1,NA,1,1310,NA,410,"","","Evaporative",NA,"Single Family",NA,"","Wood Frame/metal",1,NA,"",NA,"Attached","Electric",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",3901,"Barbara","","Ave","","","3901 Barbara Ave","Bakersfield","CA",93309,"R-1","Residential","SingleFamily","441-053-19",35.327625,-119.048074,NA,NA,7910,0.1816,"",NA,NA,NA,"",30738,88116,118854,NA,2960,2015,NA,2016-07-08,185000,"","",NA,NA,NA
"58",19305,19305,91147,1973,5,3,2,0,2,1,NA,1,1510,NA,420,"","","Central",NA,"Single Family",NA,"","Wood Frame/metal",1,NA,"",NA,"Attached","Radiant",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",2419,"Bladen","","St","","","2419 Bladen St","Bakersfield","CA",93309,"R-1","Residential","SingleFamily","355-213-05",35.332007,-119.060412,NA,NA,9148,0.21,"",NA,NA,NA,"",13778,49578,63356,NA,1203,2015,NA,2016-06-10,196500,"Grant Deed","MORRIS DARRELL L & WENDY O",NA,NA,NA
"62",23834,23834,96268,2004,NA,5,3,0,3,1,NA,1,1745,NA,474,"","","Central",NA,"Single Family",NA,"Fair","Wood Frame/metal",NA,NA,"",NA,"Attached","Forced Air",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",901,"Berkshire","","Rd","","","901 Berkshire Rd","Bakersfield","CA",93307,"","Residential","SingleFamily","516-360-10",35.288322,-119.012193,NA,NA,7405,0.17,"",NA,NA,NA,"",25614,108608,134222,NA,2102,2015,NA,2016-04-28,157500,"Grant Deed","HUD-HOUSING OF URBAN DEV",NA,NA,NA
"63",23859,23859,96298,1962,NA,3,2,0,2,1,NA,1,1245,NA,389,"","","Evaporative",NA,"Single Family",NA,"Average","Wood Frame/metal",1,NA,"",NA,"Attached","Electric",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",431,"Mckelvey","","Ave","","","431 Mckelvey Ave","Bakersfield","CA",93308,"R-1","Residential","SingleFamily","484-084-09",35.4415,-119.026507,NA,NA,10454,0.24,"",NA,NA,NA,"",10934,39025,49959,NA,1151,2015,NA,2016-08-22,115000,"","",NA,NA,NA
"67",32217,32217,105647,2006,NA,3,2,0,2,1,NA,1,1827,NA,393,"","","Central",NA,"Single Family",NA,"Average","Wood Frame/metal",NA,NA,"",NA,"Attached","Forced Air",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",5206,"Silver Clover","","Avenue","","","5206 Silver Clover Avenue","Bakersfield","CA",93313,"","Residential","Single Family Residence / Townhouse","532-135-18",35.269739,-119.060203,NA,NA,6098,0.14,"",NA,NA,NA,"",55000,164000,219000,NA,3249,2015,NA,2016-08-12,218000,"","",NA,NA,NA
"70",37685,37685,111655,1999,5,3,2,0,2,1,NA,1,1508,NA,400,"","","Central",NA,"Single Family",NA,"Average","Wood Frame/metal",1,NA,"",NA,"Attached","Forced Air",NA,NA,"Attached Garage",NA,"Average","",NA,NA,NA,"","",4501,"Betony","","Dr","","","4501 Betony Dr","Bakersfield","CA",93311,"R-2","Residential","Single Family Residence / Townhouse","392-422-01",35.314273,-119.108289,NA,NA,5227,0.12,"",NA,NA,NA,"",31352,109735,141087,NA,2281,2015,NA,2016-06-03,195000,"Grant Deed","GUNAWAN DENY",NA,NA,NA
"71",37686,37686,111656,1983,NA,3,2,0,2,NA,NA,NA,1316,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",8309,"Eakins","","Dr","","","8309 Eakins Dr","Bakersfield","CA",93311,"","","SingleFamily","",35.315267,-119.094543,NA,NA,6900,0.1584,"",NA,NA,NA,"",NA,NA,134247,NA,NA,NA,NA,2016-02-19,140000,"","",NA,NA,NA
"72",37687,37687,111657,1984,NA,3,NA,NA,NA,NA,NA,NA,1110,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",8305,"Bellows","","Ave","","","8305 Bellows Ave","Bakersfield","CA",93311,"","","SingleFamily","",35.316424,-119.094468,NA,NA,6900,0.1584,"",NA,NA,NA,"",NA,NA,50950,NA,NA,NA,NA,2016-04-19,140000,"","",NA,NA,NA
"73",37688,37688,111658,1984,NA,3,NA,NA,NA,NA,NA,NA,1110,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",8313,"Bellows","","Ave","","","8313 Bellows Ave","Bakersfield","CA",93311,"","","SingleFamily","",35.316424,-119.09487,NA,NA,6969,0.16,"",NA,NA,NA,"",NA,NA,148000,NA,NA,NA,NA,2016-04-13,187000,"","",NA,NA,NA
"74",37689,37689,111659,1983,NA,5,2.5,1,2,NA,NA,NA,2206,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4304,"Eakins","","Ct","","","4304 Eakins Ct","Bakersfield","CA",93311,"","","SingleFamily","",35.315991,-119.094513,NA,NA,11382,0.2613,"",NA,NA,NA,"",NA,NA,172439,NA,NA,NA,NA,2016-04-21,255000,"","",NA,NA,NA
"75",37690,37690,111660,1983,NA,3,2,0,2,NA,NA,NA,1316,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4205,"Ryder","","Ln","","","4205 Ryder Ln","Bakersfield","CA",93311,"","","SingleFamily","",35.316336,-119.096194,NA,NA,8400,0.1928,"",NA,NA,NA,"",NA,NA,179000,NA,NA,NA,NA,2016-05-26,205000,"","",NA,NA,NA
"76",37691,37691,111661,1984,NA,4,2,0,2,NA,NA,NA,1485,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4513,"Trumbull","","Dr","","","4513 Trumbull Dr","Bakersfield","CA",93311,"","","SingleFamily","",35.314018,-119.09318,NA,NA,7801,0.1791,"",NA,NA,NA,"",NA,NA,188696,NA,NA,NA,NA,2016-05-31,220000,"","",NA,NA,NA
"77",37692,37692,111662,1983,NA,3,2.5,1,2,NA,NA,NA,1592,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4209,"Homer","","Ln","","","4209 Homer Ln","Bakersfield","CA",93311,"","","SingleFamily","",35.316135,-119.098437,NA,NA,7840,0.18,"",NA,NA,NA,"",NA,NA,161541,NA,NA,NA,NA,2016-07-22,220000,"","",NA,NA,NA
"78",37693,37693,111663,1983,NA,3,2.5,1,2,NA,NA,NA,1592,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",8513,"Bellows","","Ave","","","8513 Bellows Ave","Bakersfield","CA",93311,"","","SingleFamily","",35.316402,-119.097056,NA,NA,NA,0,"",NA,NA,NA,"",NA,NA,116897,NA,NA,NA,NA,2016-01-25,215000,"","",NA,NA,NA
"80",37695,37695,111665,1990,NA,3,NA,NA,NA,NA,NA,NA,2105,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",9308,"Steinbeck","","Ln","","","9308 Steinbeck Ln","Bakersfield","CA",93311,"","","SingleFamily","",35.324269,-119.105609,NA,NA,8712,0.2,"",NA,NA,NA,"",NA,NA,175616,NA,NA,NA,NA,2016-07-01,250000,"","",NA,NA,NA
"83",37746,37746,111717,1956,NA,3,NA,NA,NA,NA,NA,NA,1303,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4012,"Kenton","","Ct","","","4012 Kenton Ct","Bakersfield","CA",93309,"","","SingleFamily","",35.364068,-119.046905,NA,NA,9147,0.21,"",NA,NA,NA,"",NA,NA,130567,NA,NA,NA,NA,2016-06-10,168000,"","",NA,NA,NA
"84",37747,37747,111718,1959,NA,3,NA,NA,NA,NA,NA,NA,1873,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4000,"Rinker","","Way","","","4000 Rinker Way","Bakersfield","CA",93309,"","","SingleFamily","",35.362442,-119.047816,NA,NA,9008,0.2068,"",NA,NA,NA,"",NA,NA,143073,NA,NA,NA,NA,2016-01-29,223000,"","",NA,NA,NA
"85",37748,37748,111719,1959,NA,3,2,0,2,NA,NA,NA,1632,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",4013,"Rinker","","Way","","","4013 Rinker Way","Bakersfield","CA",93309,"","","SingleFamily","",35.362243,-119.048577,NA,NA,7500,0.1722,"",NA,NA,NA,"",NA,NA,144991,NA,NA,NA,NA,2016-03-10,219000,"","",NA,NA,NA
"86",37749,37749,111720,1955,NA,4,2,0,2,NA,NA,NA,1379,NA,NA,"","","",NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"","",9,"Dunlap","","St","","","9 Dunlap St","Bakersfield","CA",93309,"","","SingleFamily","",35.354823,-119.050116,NA,NA,6477,0.1487,"",NA,NA,NA,"",NA,NA,92500,NA,NA,NA,NA,2016-01-05,135000,"","",NA,NA,NA
