"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"13",1383,1383,57172,1928,NA,3,2,0,2,2,NA,1,2198,525,360,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Hot Water",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,16559,"Northlawn","","St","","","16559 Northlawn St","Detroit","MI",48221,"","Residential","SingleFamily","16032263.",42.413086,-83.153664,132,35,4791,0.11,NA,NA,NA,NA,NA,0,0,20100,NA,2009,2015,NA,2016-05-24,23000,"","",NA,NA,NA
"16",1391,1391,57186,1939,NA,3,2,0,2,2,NA,1,2067,676,360,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,19306,"Monte Vista","","St","","","19306 Monte Vista St","Detroit","MI",48221,"","Residential","SingleFamily","16044780.",42.43328,-83.168251,116,40,4791,0.11,NA,NA,NA,NA,NA,0,0,14700,NA,779,2015,NA,2016-05-17,14000,"","",NA,NA,NA
"18",1393,1393,57190,1934,NA,3,1,0,1,2,NA,1,1872,624,360,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,14257,"Mansfield","","St","","","14257 Mansfield St","Detroit","MI",48227,"","Residential","Single Family Residence / Townhouse","22057802.",42.39154,-83.20501,NA,NA,5227,0.12,NA,NA,NA,NA,NA,0,0,18300,NA,1718,2015,NA,2016-07-06,27500,"","",NA,NA,NA
"20",1395,1395,57193,1950,NA,3,3,0,3,1.25,NA,1,1788,865,400,"","Brick","Central","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,14869,"Biltmore","","St","","","14869 Biltmore St","Detroit","MI",48227,"","Residential","SingleFamily","22064554-5",42.399512,-83.21215,100,40,3920,0.09,NA,NA,NA,NA,NA,0,0,21800,NA,1380,2015,NA,2016-07-06,24000,"","",NA,NA,NA
"21",1396,1396,57194,1938,NA,3,2,0,2,2,NA,1,1200,600,NA,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"","Forced Air Not Ducted",NA,NA,"",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,15393,"Minock","","St","","","15393 Minock St","Detroit","MI",48223,"","Residential","SingleFamily","22091228.",42.402103,-83.234039,131,37,4791,0.11,NA,NA,NA,NA,NA,0,0,14300,NA,1037,2015,NA,2016-04-27,13700,"","",NA,NA,NA
"22",1397,1397,57195,1948,NA,3,1,0,1,1.25,NA,1,1015,728,280,"","Brick","Central","","Single Family",NA,NA,NA,NA,"","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,16220,"Lappin","","St","","","16220 Lappin St","Detroit","MI",48205,"","Residential","SingleFamily","21021631.",42.437175,-82.952796,134,40,5227,0.12,NA,NA,NA,NA,NA,0,0,21200,NA,642,2015,NA,2016-05-24,9000,"","",NA,NA,NA
"25",1408,1408,57219,1936,NA,3,2,0,2,2,NA,1,2213,713,400,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18937,"Roselawn","","St","","","18937 Roselawn St","Detroit","MI",48221,"","Residential","SingleFamily","16030650.",42.430198,-83.153244,117,35,3920,0.09,NA,NA,NA,NA,NA,0,0,26400,NA,1447,2015,NA,2016-05-09,60000,"","",NA,NA,NA
"28",1411,1411,57224,1946,NA,3,2,0,2,1.25,NA,1,1083,703,400,"","Brick","Central","","Single Family",NA,NA,NA,NA,"","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,9628,"Beaverland","","","","","9628 Beaverland","Detroit","MI",48239,"","Residential","SingleFamily","22118206.",42.366207,-83.263854,135,35,4791,0.11,NA,NA,NA,NA,NA,0,0,8500,NA,988,2015,NA,2016-07-27,25000,"","",NA,NA,NA
"39",1893,1893,66315,1953,NA,3,1,0,1,1,NA,1,1198,1198,440,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,14499,"Coram","","St","","","14499 Coram St","Detroit","MI",48205,"","Residential","Single Family Residence / Townhouse","21022102.",42.43853,-82.97326,204,45,9148,0.21,NA,NA,NA,NA,NA,0,0,13900,NA,1463,2015,NA,2016-05-02,4000,"","",NA,NA,NA
"63",4001,4001,73861,1949,NA,NA,0,0,0,0,1,1,940,NA,NA,"","","","","",NA,NA,NA,NA,"","Concrete",NA,"","Package",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,18526,"Schoolcraft","","","","","18526 Schoolcraft","Detroit","MI",48223,"","Commercial","Commercial","22009687.",42.38681,-83.22287,90,20,1742,0.04,NA,NA,NA,NA,NA,0,0,8800,NA,1700,2015,NA,2016-01-02,2000,"Quit Claim","SUNNY HORIZONS LENDING LLC",NA,NA,NA
"83",7467,7467,77826,1920,NA,5,2,0,2,2,NA,1,1784,892,400,"","Asphalt Siding","","","Single Family",NA,NA,NA,NA,"","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,18354,"Grayfield","","St","","","18354 Grayfield St","Detroit","MI",48219,"","Residential","SingleFamily","22120390.",42.42395,-83.269294,115,50,5663,0.13,NA,NA,NA,NA,NA,0,0,19800,NA,1982,2015,NA,2016-05-19,20007,"","",NA,NA,NA
"93",8818,8818,79363,1925,NA,NA,1,0,1,2,NA,1,1152,576,216,"","Wood Siding","","","Single Family",NA,NA,NA,NA,"","",NA,"Detached","Forced Air Not Ducted",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,12780,"Tuller","","St","","","12780 Tuller St","Detroit","MI",48238,"","Residential","SingleFamily","16026687.",42.383639,-83.145901,108,36,3920,0.09,NA,NA,NA,NA,NA,0,0,9700,NA,917,2015,NA,2016-03-15,240614,"Quit Claim","BENTLEY CHARLIE",NA,NA,NA
"107",9071,9071,79649,NA,NA,NA,1,0,1,0,49,1,640,NA,NA,"","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,120,"Seward","","St","","","120 Seward St","Detroit","MI",48202,"","Residential","Condominium","02001199.029",42.374366,-83.078705,NA,NA,291,0.0067,NA,NA,NA,NA,NA,0,0,3300,NA,290,2015,NA,2016-04-06,60060,"Quit Claim","FRANK DAVID",NA,NA,NA
"110",9088,9088,79670,1910,NA,NA,2,0,2,2.25,NA,1,3948,1539,NA,"","Brick","","","",NA,NA,NA,2,"2 Openings","",NA,"","Forced Hot Water",NA,NA,"",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,122,"Euclid","W","St","","","122 W Euclid St","Detroit","MI",48202,"","Residential","VacantResidentialLand","02001247.",42.376598,-83.080131,125,42,5227,0.12,NA,NA,NA,NA,NA,0,0,700,NA,55,2015,NA,2016-04-08,12750,"","",NA,NA,NA
"155",10990,10990,81789,1924,NA,NA,0,0,0,0,1,1,17925,4981,NA,"","","","","",NA,NA,NA,NA,"","Concrete",NA,"","Steam",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,12500,"Dexter","","Ave","","","12500 Dexter Ave","Detroit","MI",48206,"","Commercial","Commercial","12010531.",42.3848,-83.12708,120,60,7405,0.17,NA,NA,NA,NA,NA,0,0,0,NA,100,2015,NA,2016-02-03,1800,"Quit Claim","DETROIT LAND BK AUTHORITY",NA,NA,NA
"167",11057,11057,81881,1942,NA,3,1,0,1,1.25,NA,1,830,759,280,"","Brick","","","Single Family",NA,NA,NA,NA,"","",NA,"Detached","Forced Air Not Ducted",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,11443,"Lakepointe","","St","","","11443 Lakepointe St","Detroit","MI",48224,"","Residential","SingleFamily","21064928.",42.423744,-82.949234,137,40,5662,0.13,NA,NA,NA,NA,NA,0,0,28000,NA,1471,2015,NA,2016-04-29,42000,"","",NA,NA,NA
"171",11609,11609,82511,1916,NA,6,5,0,5,2.5,NA,1,4000,NA,324,"","Brick","","","Single Family",NA,NA,NA,3,"3 Openings","",NA,"Detached","Forced Air",NA,NA,"Detached Garage",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,301,"Boston","E","Blvd","","","301 E Boston Blvd","Detroit","MI",48202,"","Residential","SingleFamily","01003219.",42.389776,-83.080242,172,86,14810,0.34,NA,NA,NA,NA,NA,0,0,36200,NA,2767,2015,NA,2016-04-25,1e+05,"Grant Deed","PARTNERSHIP TO HOMEOWNERSHIP",NA,NA,NA
"176",12140,12140,83120,1907,NA,4,4,0,4,2.5,NA,1,2500,NA,NA,"","Brick","","","Single Family",NA,NA,NA,1,"1 Opening","",NA,"","Forced Hot Water",NA,NA,"",NA,NA,"Asphalt",NA,NA,"Gas",NA,NA,78,"Taylor","","St","","","78 Taylor St","Detroit","MI",48202,"","Residential","SingleFamily","02001407.",42.38171,-83.082786,131,43,5662,0.13,NA,NA,NA,NA,NA,0,0,23600,NA,1888,2015,NA,2016-04-14,24000,"","",NA,NA,NA
