"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"10",877,877,43027,1940,5,3,1,0,1,0,NA,1,1228,NA,NA,"","Aluminum/vinyl","",NA,"Single Family","","Fair","",NA,"","",NA,"","Central Forced Air",NA,NA,"","","Low",NA,NA,"Available","Gas","Public","Public",7913,"Little","","St","","","7913 Little St","Houston","TX",77028,"","Residential","SingleFamily","030-018-021-0053",29.81803,-95.283734,NA,NA,4200,0.0964,"",NA,NA,NA,"",4920,16125,21045,NA,534,2015,NA,2016-07-15,30000,"","",NA,NA,NA
"40",2126,2126,70455,1980,5,3,2,0,2,1,NA,1,1731,NA,420,"Traditional","Frame Concrete Block/brick","Central",NA,"Single Family","","Average","",1,"Metal","Slab",NA,"","Central",NA,NA,"Attached Masonry Garage","","Average",NA,NA,"Available","Gas","Public","Public",11610,"Shannon Hills","","Ct","","","11610 Shannon Hills Ct","Houston","TX",77099,"","Residential","SingleFamily","112-940-000-0137",29.681764,-95.583078,NA,NA,5000,0.1148,"",NA,NA,NA,"Neighborhood",19000,84076,103076,NA,2802,2015,NA,2016-04-18,135863,"Grant Deed","SONOIKI DAMILARE K",NA,NA,NA
"62",2150,2150,70559,1980,5,2,3,0,3,2,NA,1,1309,NA,220,"Townhouse","Stucco","Central",NA,"Townhouse","","Good","",1,"Metal","Slab",NA,"Attached Frame","Central",NA,NA,"Attached Frame Garage","","Average",NA,NA,"Available","Gas","Public","Public",12313,"Corona","","Ln","","","12313 Corona Ln","Houston","TX",77072,"","Residential","SingleFamily","114-606-010-0011",29.694554,-95.59669,NA,NA,2295,0.0527,"",NA,NA,NA,"",12200,57876,70076,NA,1905,2015,NA,2016-06-03,63750,"Grant Deed","TRUONG ERIC",NA,NA,NA
"115",4742,4742,74701,2005,5,2,2,0,2,1,NA,1,1240,NA,400,"","Frame Concrete Block/brick","Central",NA,"Townhouse","","Average","",NA,"","Slab",NA,"Attached Frame","Central",NA,NA,"Attached Frame Garage","","Average",NA,NA,"Available","Gas","Public","Public",930,"Memorial Heights","","Dr","","","930 Memorial Heights Dr","Houston","TX",77007,"","Residential","Townhouse","122-091-001-0016",29.768681,-95.390639,NA,NA,3624,0.0832,"",NA,NA,NA,"",144390,150101,294491,NA,7466,2015,NA,2016-04-27,193750,"Grant Deed","SAROMAR I LLC",NA,NA,NA
"138",6716,6716,76955,1965,3,2,2,0,2,1,105,1,795,NA,NA,"Condominium","Brick Veneer","Central",NA,"Condo Apartment","","Average","",NA,"","Slab",NA,"","Central",NA,NA,"On & Off Street","","Good",NA,NA,"Available","Gas","Public","Public",3600,"Montrose","","Blvd","","","3600 Montrose Blvd","Houston","TX",77006,"","Residential","SingleFamily","113-278-009-0009",29.740062,-95.391787,NA,NA,67795,1.5564,"",NA,NA,NA,"",17920,76397,94317,NA,2542,2015,NA,2016-06-24,119000,"","",NA,NA,NA
"150",9333,9333,79953,1970,4,3,2,0,2,1,NA,1,1200,NA,NA,"","Vinyl","Central",NA,"Single Family","","Fair","",NA,"","Continuous Wall",NA,"","Forced Air",NA,NA,"","","",NA,NA,"","","","",214,"County","","Rd","","","214 County Rd 3159","Houston","AL",35572,"","Residential","SingleFamily","02-09-29-0-000-002.001",34.240846,-87.300955,NA,NA,87120,2,"09S",29,NA,NA,"",0,0,7360,NA,191,2015,NA,2016-06-17,28500,"","",NA,NA,NA
"179",11962,11962,82914,1973,7,4,2,0,2,1,NA,1,1980,NA,462,"Traditional","Brick Veneer","Central",NA,"Single Family","","Average","",1,"Type Unknown","Slab",NA,"Detached Frame/concrete Block","Central",NA,NA,"Detached Frame/concrete Block","","Average",NA,NA,"Available","Gas","Public","Public",9206,"Petersham","","Dr","","","9206 Petersham Dr","Houston","TX",77031,"","Residential","SingleFamily","104-013-000-0013",29.654105,-95.545021,NA,NA,8400,0.1928,"",NA,NA,NA,"Neighborhood",0,0,129611,NA,3415,2015,NA,2016-04-28,198312,"Grant Deed","HOSKINS BARBARA H",NA,NA,NA
"185",13059,13059,84122,2006,6,3,3,0,3,2,NA,1,2309,NA,400,"","Frame Concrete Block/brick","Central",NA,"Single Family","","Average","",1,"Type Unknown","Slab",NA,"","Central",NA,NA,"Attached Masonry Garage","","Good",NA,NA,"","","","",17227,"Borden Manor","","Dr","","","17227 Borden Manor Dr","Houston","TX",77090,"","Residential","Townhouse","124-955-006-0004",30.012023,-95.462968,NA,NA,3200,0.0735,"",NA,NA,NA,"",28480,142174,170654,NA,4190,2015,NA,2016-05-12,209000,"Grant Deed","CANTU-MORALES NORMA",NA,NA,NA
"211",14755,14755,86043,1939,9,4,2,0,2,1,NA,2,2124,NA,NA,"Traditional","Frame Concrete Block/brick","",NA,"Single Family","","Fair","",1,"Type Unknown","",NA,"Carport","Central Forced Air",NA,NA,"Carport","","Low",NA,NA,"Available","Gas","Public","Public",4209,"Rusk","","St","","","4209 Rusk St","Houston","TX",77023,"","Residential","SingleFamily","017-098-000-0009",29.743235,-95.335025,NA,NA,5000,0.1148,"",NA,NA,NA,"",68500,82630,151130,NA,4058,2015,NA,2016-05-23,150000,"Grant Deed","VMG",NA,NA,NA
"233",14879,14879,86190,1946,10,3,2,0,2,1,NA,2,1969,NA,NA,"Traditional","Asbestos","Central",NA,"Single Family","","Fair","",NA,"","",NA,"","Central",NA,NA,"On & Off Street","","Average",NA,NA,"Available","Gas","Public","Public",4007,"Walker","","St","","","4007 Walker St","Houston","TX",77023,"","Residential","MultiFamily2To4","017-103-000-0009",29.743291,-95.337583,NA,NA,5000,0.1148,"",NA,NA,NA,"",68500,107189,175689,NA,4718,2015,NA,2016-04-28,298312,"Grant Deed","VIERA NANCY G & LUIS",NA,NA,NA
