"","X","id","property_id","year_built","rooms_count","beds_count","baths_count","half_baths_count","full_baths_count","stories_count","units_count","buildings_count","total_size","basement_size","garage_size","architecture_type","exterior_wall_type","air_conditioning_type","basement_type","building_type","improvement_type","condition","construction_type","fireplace_count","fireplace_type","foundation_type","flooring_type","garage_type","heating_type","mobile_home","parking_spaces","parking_type","pool_type","quality","roof_type","roof_style_type","electricity_type","fuel_type","sewer_type","water_type","street_number","street_name","street_direction","street_suffix","unit_type","unit_number","address","city","state","zip","zoning","zoning_category","zoning_description","parcel_id","latitude","longitude","depth","width","size","acres","township","section","rental_property","view","location_description","land","improvement","total","exemption","tax_amount","tax_year","details","date","price","type","seller","transaction_id","document_year","sale_code"
"2",284,284,18839,1958,8,3,2,0,2,1,NA,1,3476,1738,616,NA,NA,"Central","","Single Family",NA,"Average","Brick",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","","",4616,"Orlando","","Ct","","","4616 Orlando Ct","Indianapolis","IN",46228,"","Residential","Single Family Residence / Townhouse","49-06-09-110-028.000-800",39.83926,-86.20712,179,108,19153,0.4397,"16",9,NA,NA,"",23700,121900,145600,NA,1310,2015,NA,2016-07-15,153713,"Grant Deed","MOORE-FOSTER LOLLIE L",NA,NA,NA
"53",5333,5333,75378,1956,6,3,1,0,1,1,NA,1,952,NA,418,NA,NA,"","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Detached","Warm Air",NA,NA,"Detached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",3719,"Whittier","N","Pl","","","3719 N Whittier Pl","Indianapolis","IN",46218,"","Residential","SingleFamily","49-07-22-110-252.000-701",39.824628,-86.07463,207,25,5183,0.119,"16",22,NA,NA,"",0,0,43300,NA,0,2015,NA,2016-03-07,36692,"Grant Deed","BROOKS JOYCE S",NA,NA,NA
"59",5640,5640,75716,1930,5,2,1,0,1,1,NA,1,960,960,576,NA,NA,"","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Detached","Warm Air",NA,NA,"Detached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",5413,"Greenfield","","Ave","","","5413 Greenfield Ave","Indianapolis","IN",46219,"","Residential","SingleFamily","49-10-10-183-020.000-701",39.761308,-86.076267,143,42,6011,0.138,"15",10,NA,NA,"",21000,40200,61200,NA,1348,2015,NA,2016-04-20,38438,"Grant Deed","LAWSON WEALTH SOLUTIONS LLC",NA,NA,NA
"79",9101,9101,79684,2008,NA,4,3,0,3,0,NA,1,3672,990,548,NA,NA,"Central","Finished","Single Family",NA,"Average","Masonry",1,"Steel",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"","","","",7542,"Ockley","","Ln","","","7542 Ockley Ln","Indianapolis","IN",46259,"ZO01","Residential","SingleFamily","49-16-18-117-004.000-300",39.658302,-86.020912,NA,NA,12196,0.28,"",NA,NA,NA,"",35000,224400,259400,NA,2594,2015,NA,2016-03-08,258716,"Grant Deed","AMERICAN INTL RELOCATION SOLU",NA,NA,NA
"136",20000,20000,91925,1989,NA,3,4,0,4,2,NA,1,2712,904,200,NA,NA,"Central","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",629,"Arch","E","St","","","629 E Arch St","Indianapolis","IN",46202,"","Residential","SingleFamily","49-11-01-232-003.000-101",39.778093,-86.146797,60,30,1742,0.04,"15",1,NA,NA,"",38400,288400,326800,NA,3620,2015,NA,2016-06-30,470250,"Grant Deed","MENYHART RUSSELL C",NA,NA,NA
"148",21974,21974,94186,1940,6,2,2,0,2,1,NA,1,1944,972,250,NA,NA,"","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Basement","Warm Air",NA,NA,"Basement Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",24,"Bankers","","Ln","","","24 Bankers Ln","Indianapolis","IN",46201,"","Residential","SingleFamily","49-10-04-136-006.000-101",39.768954,-86.089867,103,50,4791,0.11,"15",4,NA,NA,"",9200,56200,65400,NA,409,2015,NA,2016-07-08,62500,"Grant Deed","BARBER JEFF A",NA,NA,NA
"196",32877,32877,106432,1990,NA,3,2,0,2,1,NA,1,1204,NA,400,NA,NA,"Central","","Single Family",NA,"Average","Wood",NA,"",NA,NA,"Attached","Warm Air",NA,NA,"Attached Garage","",NA,NA,NA,"Type Unknown","Type Unknown","Type Unknown","Type Unknown",9206,"Ratcliff","","Court","","","9206 Ratcliff Court","Indianapolis","IN",46234,"","Residential","Single Family Residence / Townhouse","49-05-21-104-012.000-900",39.822167,-86.324923,83,100,8320,0.191,"16",21,NA,NA,"Extra Front",20100,73000,93100,NA,2188,2015,NA,2016-01-29,108000,"Grant Deed","SYNERGY VENTURE GROUP LLC",NA,NA,NA
"199",35011,35011,108743,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2001,"Tibbs","S","Ave","","","2001 S Tibbs Ave","Indianapolis","IN",46241,"ZO01","Vacant","Vacant","49-11-16-110-039.000-970",39.7387,-86.21387,NA,NA,846371,19.43,"15",16,NA,NA,"Restrictions",552000,0,552000,NA,16560,2014,NA,2016-06-08,782500,"Grant Deed","ROLLS-ROYCE CORP",NA,NA,NA
"200",40104,40104,114211,2002,NA,4,3,0,3,NA,NA,NA,3132,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",8240,"Thorn Bend","","Dr","","","8240 Thorn Bend Dr","Indianapolis","IN",46278,"","","SingleFamily","",39.922218,-86.308825,NA,NA,20473,0.47,"",NA,NA,NA,"",NA,NA,287100,NA,NA,NA,NA,2016-04-09,299000,"","",NA,NA,NA
"203",40455,40455,114601,1973,NA,2,2,0,2,NA,NA,NA,1088,NA,NA,NA,NA,"","","",NA,"","",NA,"",NA,NA,"","",NA,NA,"","",NA,NA,NA,"","","","",2646,"Country Estates","","Dr","","","2646 Country Estates Dr","Indianapolis","IN",46227,"","","Condominium","",39.638924,-86.116633,NA,NA,436,0.01,"",NA,NA,NA,"",NA,NA,41400,NA,NA,NA,NA,2016-07-29,55000,"","",NA,NA,NA
